VirtualPortGroup,PhysicalGroup,SPA Port,SPB Port,SPA Port,SPB Port,
VG183,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG184,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG185,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG186,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG187,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG188,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG189,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG190,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG191,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG192,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
